Policy Combination Summary Report
==================================================

c 1 2 3    | Result              
-----------------------------------
0 0 0 0    | SAT (20)            
0 0 0 1    | SAT (3)             
0 0 1 0    | SAT (22)            
0 0 1 1    | SAT (2)             
0 1 0 0    | UNSAT               
0 1 0 1    | UNSAT               
0 1 1 0    | UNSAT               
0 1 1 1    | UNSAT               
1 0 0 0    | UNSAT               
1 0 0 1    | UNSAT               
1 0 1 0    | UNSAT               
1 0 1 1    | SAT (20)            
1 1 0 0    | UNSAT               
1 1 0 1    | UNSAT               
1 1 1 0    | SAT (4)             
1 1 1 1    | SAT (25)            
